Function	Genes	count	z-score	Direction
Bacterial Infections	ABCC2, ADAM17, ADAMTS13, ADCY7, ADCYAP1R1, ADGRE5, ADH5, ADRB2, AHR, AIM2, AIMP1, AKT1, AKT2, ALOX5AP, ANTXR2, APBA3, APCS, APOE, APP, ASGR1, ASGR2, ATP4A, ATP4B, B2M, BAHD1, BATF3, BCL10, BCL3, BCL6, BDKRB1, BDKRB2, BEX1, BID, BIRC3, BLNK, BPI, BPIFA1, BTLA, C1QA, C1QB, C1QBP, C3, C4A/C4B, C5, C5AR1, C9, CAMLG, CAMP, CAPG, CARD9, CASP1, CASP4, CASP8, CAV1, CBY1, CCL13, CCL18, CCL2, CCL3, CCL3L3, CCL4, CCL8, CCR1, CCR2, CCR4, CCR5, CCR6, CCR7, CCRL2, CD14, CD160, CD19, CD1B, CD1D, CD209, CD22, CD27, CD274, CD28, CD36, CD4, CD40, CD44, CD47, CD59, CD5L, CD79A, CD80, CD83, CDKN2A, CEACAM6, CEACAM8, CEBPB, CEBPE, CERK, CFD, CFHR3, CFTR, CHIT1, CHRNA3, CHRNB2, CHRNB4, CISH, CLEC2B, CLEC4D, CLIC4, CLU, CMKLR1, COL17A1, CR2, CRBN, CRP, CRTAM, CSF2, CSF3, CSK, CTGF, CTSB, CTSG, CTSL, CXCL10, CXCL13, CXCL16, CXCL5, CXCL6, CXCL8, CXCL9, CXCR1, CXCR2, CXCR3, CYBB, CYLD, CYSLTR1, CYSLTR2, DCLRE1A, DCN, DEFA1 (includes others), DEFA4, DEFB4A/DEFB4B, DHFR, DLG2, DUSP1, E2F4, EBAG9, EBI3, ELANE, ENPP2, ENTPD1, ENTPD7, EPAS1, F2R, F2RL1, F3, F5, F8, FANCC, FCER1A, FCER1G, FCGR1A, FCGR1B, FCGR2A, FCGR2B, FCGR2C, FCGR3A/FCGR3B, FCN1, FES, FGFR2, FGR, FLT3LG, FOS, FPR1, FUT4, FUT7, G6PC3, GABRA1, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GCA, GDF15, GPC3, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRN, GUCY2C, GZMA, GZMM, HCK, HLA-DMA, HLA-E, HLA-G, HMGB1, HNRNPD, HRH2, HSF1, ICAM1, ICOS, IFI30, IFNAR1, IFNAR2, IFNB1, IFNE, IFNG, IFNGR1, IFNGR2, IGHMBP2, IGK, IGL, IGLL1/IGLL5, IKBKB, IKBKG, IL10, IL12A, IL12B, IL12RB1, IL13, IL13RA2, IL15, IL16, IL17A, IL17F, IL17RE, IL18, IL1B, IL1R1, IL1RN, IL22, IL23A, IL25, IL27, IL27RA, IL2RB, IL2RG, IL32, IL4, IL5, IL6, IL6R, IL6ST, IL7, ILF3, IRAK1, IRAK2, IRAK4, IRF3, IRF4, IRF5, IRF7, IRF8, IRG1, ITGAD, ITGAL, ITGAM, ITGAX, ITGB2, JCHAIN, JDP2CFD, JDP2, KIT, KMT2E, LBP, LCN2, LCP1, LGALS3, LILRA2, LILRB3, LILRB5, LTA, LTB, LTBP2, LTF, LUM, LY86, LY96, LYZ, MAP2K3, MAP3K5, MAP3K8, MAPKAPK2, MAPT, MARCO, MBL2, MC2R, MGLL, MIF, MMP10, MMP12, MMP2, MMP28, MMP3, MMP7, MMP8, MMP9, MPO, MSR1, MST1R, MT-CYB, MUC5B, MXI1, MYD88, NCF1, NCSTN, NFKB1, NFKBIB, NFKBID, NLRC4, NLRP10, NLRP12, NLRP3, NOD1, NOD2, NOS2, NOS3, NR1H2, NR1H3, NR3C1, NRG1, NSMAF	332.0	-3.9775	repressed
Bleeding	ABCA1, ABCA3, ABCB4, ABCC8, ABI1, ABL1, ABL2, ACE, ACKR3, ACVRL1, ADAM17, ADAMTS13, ADAR, ADGRA2, ADIPOQ, ADM, ADORA1, ADORA2A, ADORA2B, ADORA3, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, AGT, AIP, ALB, ALDH1A1, ALDH3A1, ALKBH1, ALOX5, ALPL, AMH, AMOT, AMY2A, AMY2B, ANGPT1, ANGPT2, ANKRD17, ANXA2, ANXA7, AP1M1, APC, APOE, APP, AR, ARF6, ARID4A, ATE1, ATF6, ATP2C1, ATP4A, ATP4B, AXL, BAX, BCL2, BDNF, BGN, BID, BIRC2, BIRC3, BIRC6, BMPR2, BRAF, C1GALT1, C1GALT1C1, C3, C4A/C4B, C5, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1S, CACNA2D1, CACNA2D2, CACNB1, CACNB2, CACNB3, CACNB4, CAMLG, CAPN1, CAPN2, CAPNS1, CASP8, CASP9, CAST, CBFB, CCR2, CDK2, CDK4, CDON, CFLAR, CGA, CGB (includes others), CHRNA1, CHRNA10, CHRNA2, CHRNA3, CHRNA4, CHRNA5, CHRNA6, CHRNA7, CHRNA9, CHRNB1, CHRNB2, CHRNB3, CHRNB4, CHRND, CHRNE, CHRNG, CLEC1B, CNN1, COL18A1, COL1A1, COL2A1, COL4A1, COL4A2, COL4A3, CREBBP, CRHR1, CRK, CRP, CSNK2A1, CST3, CTBP1, CTBP2, CUL7, CXADR, CXCR4, CYP19A1, CYP2C19, CYP2C9, DDIT3, DGCR8, DICER1, DNM1L, DNMT3B, DRD1, DRD2, E2F1, E2F4, E2F5, E2F7, E2F8, ECSCR, EDNRA, EFEMP2, EIF2AK3, ELANE, ENG, ENTPD1, EPAS1, EPHA3, EPO, ERN1, ESR1, F10, F11, F13A1, F2, F2R, F2RL2, F2RL3, F3, F5, F7, F8, F9, FADD, FAIM, FAS, FASLG, FBLN1, FBN1, FBXL5, FBXW7, FCGR1A, FCGR1B, FCGR2A, FCGR2B, FCGR2C, FCGR3A/FCGR3B, FCGRT, FERMT3, FES, FGA, FGB, FGG, FKBP1A, FLI1, FLNA, FLRT2, FLT4, FN1, FOXC2, FOXM1, FSHB, FSHR, FZD5, G6PD, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GATA1, GATA4, GATA6, GFI1B, GGCX, GIT1, GJA4, GJA5, GLRA1, GNA11, GNA13, GNAQ, GNB3, GP1BA, GP5, GP6, GPR4, GRHL3, GRIA1, GRIN1, GRN, GUCY1B3, HCLS1, HDAC7, HDAC8, HEG1, HEY1, HEY2, HGF, HMGCR, HNRNPD, HRG, HSPG2, ICAM1, ID1, ID3, IDH1, IFNAR1, IFNGR1, IFT122, IFT172, IKBKB, IKBKG, IL10, IL18, IL1R1, IL1RN, IL2, IL2RA, IL4R, IL6, INHA, INHBA, INS, INSR, ITGA2B, ITGA4, ITGAV, ITGB3, ITGB8, JAG1, JAM3, JUP, KAT2A, KAT6ACFLAR, KAT6A, KIAA0586, KIDINS220, KIT, KLF2, KLKB1, KRT8, LAMA4, LAMC1, LATS1, LCP2, LIF, LLGL1, LOX, LPAR1, LRP1, LSR, LTA, MAFB, MAN1A2, MAP2K4, MAPK7, MB, MECOM, MEN1, MERTK, MGAT1, MGAT2, MGP, MIF, MKL2, MMP10, MMP9, MPL, MPO, MS4A1, MSI1, MUC2, MUS81, MUT, MYCN, MYD88, MYH9, MYL1, NDUFS4, NEK8, NF1, NFATC1, NFE2, NFE2L2, NGFR, NLRP6, NME5, NOS2, NOS3, NPHS2, NPPB, NR1H2, NR1H3, NR2F2, NR3C1, NR3C2, NRP1, NRP2, NTF3, NTRK3	353.0	-10.835	repressed
Breast Cancer and Tumors	CES1, CFHR3, CGB (includes others), CHD1, CHEK1, CHEK2, CHGB, CHI3L1, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA7, CHRNA9, CHRNB1, CHRND, CHST7, CIRH1A, CKAP5, CKM, CLDN1, CLDN12, CLDN3, CLDN4, CLEC10A, CLEC18B, CLGN, CLK2, CLNS1A, CLTCL1, CLU, CMPK2, CNDP1, CNDP2, CNN1, CNOT3, CNTN3, CNTN5, CNTNAP3B, COG2, COL12A1, COL1A1, COL1A2, COL4A3BP, COL5A3, COL6A5, COMMD7, COMT, COQ4, COX4I1, COX6B1, CP, CPAMD8, CPEB2, CRABP2, CRIPAK, CRISPLD1, CRMP1, CROCC, CRTAP, CRYAB, CSDE1, CSE1L, CSF1R, CSF3, CSF3R, CSMD1, CSNK1E, CSPG4, CSPP1, CT47B1, CTDNEP1, CTDSPL, CTGF, CTLA4, CTNNAL1, CTNNB1, CTNND1, CTSC, CTSD, CTSF, CTU2, CUL4A, CUL9, CXCL1, CXCL10, CXCL12, CXCL14, CXCL2, CXCL3, CXCL8, CXCL9, CXCR3, CXCR4, CXorf40A/CXorf40B, CXXC5, CYBA, CYCS, CYLD, CYP17A1, CYP19A1, CYP1A1, CYP1A2, CYP2B6, CYP2D6, CYP2E1, CYP3A4, CYP4Z1, CYR61, CYTH4, DACH1, DCD, DCHS1, DCN, DDHD2, DDIT4, DDX11, DDX17, DDX19B, DDX5, DENND2D, DENND4B, DESI2, DGKB, DGKG, DHCR7, DHDDS, DHFR, DHX37, DIAPH1, DIXDC1, DKK1, DLC1, DLG5, DMD, DMXL1, DNAAF1, DNAH14, DNAH5, DNAH7, DNAJB6, DNALI1, DNHD1, DOT1L, DPEP1, DPEP3, DPYD, DSCAM, DSCC1, DSP, DSPP, DUOX1, DUSP1, DUSP2, DUSP4, DYNC1H1, DYNC2H1, DYRK1A, E2F1, E2F4, EBLN2, ECM1, EDN1, EED, EEF1A1, EFHC2, EFS, EFTUD2, EGF, EGFL6, EGFR, EGLN1, EGLN2, EGR1, EGR4, EHMT2, EI24, EIF1, EIF2AK1, EIF2AK2, EIF2AK3, EIF2B5, EIF3A, EIF3B, EIF3C, EIF3E, EIF3H, EIF3K, EIF4A1, EIF4B, EIF4E, EIF4EBP1, EIF5, ELAVL1, ELF3, ELOVL6, EMP3, EN1, ENAH, ENG, ENO1, ENSA, EP300, EP400, EPHA2, EPHX2, EPM2AIP1, EPO, EPOR, EPPK1, EPS8, ERBB2, ERBB3, ERBB4, ERCC2, ERCC6L2, ERI2, ERLIN2, ESR1, ESR2, ESRRA, ESRRG, ETFA, ETNK2, ETS1, ETS2, ETV1, ETV4, EXOC4, EXOSC2, EXOSC9, EYA1, EZH2, F11R, F8, FABP5, FABP7, FADD, FAM107B, FAM118A, FAM171B, FAM174B, FAM179A, FAM186A, FAM198B, FAM21A/FAM21C, FAM47A, FAM49B, FAM71E2, FAM72C/FAM72D, FAM86B1, FAM86B2/FAM86KP, FAM96B, FANCD2, FANCF, FANCG, FAS, FASN, FBLN1, FBLN5, FBN1, FBN2, FBN3, FBXL7, FBXO4, FBXW10, FBXW7, FCGBP, FCGR2C, FCRL5, FDFT1, FDPS, FDX1L, FERMT2, FGF1, FGF2, FGF7, FGF8, FGFR1, FGFR2, FGFR3, FGFR4, FGR, FHL2, FHL3, FHOD3, FIGF, FIP1L1, FIS1, FJX1, FKBP1A, FLNA, FLNB, FLRT2, FLT1, FLT3, FLT4, FMN2, FMNL2, FN1, FNBP1, FNBP1L, FOLH1, FOLR1, FOS, FOSB, FOSL1, FOSL2, FOXA1, FOXC2, FOXI1, FOXM1, FOXO3, FOXP3, FRG1, FRG2/FRG2B, FRMPD2, FRYL, FRZB, FSCN1, FSTL3, FTH1, FTO, FUS, FUT10, FUT2, FYN, FZD1, FZR1, GAB2, GABARAPL2, GADD45B, GAGE13 (includes others), GAL3ST1, GALNTL6, GAS1, GATA1, GATA3, GBA, GDAP1, GFRA1, GGCT, GGPS1, GGT1, GGT7, GGTLC2, GHRL, GHSR, GINS4, GIPC1, GJA1, GJB2, GLI1, GLI2, GLI3, GLO1, GLUL, GNA12, GNA13, GNAS, GNRH1, GNRH2, GNRHR, GOLGA4, GOLGA6L10 (includes others), GOLGA6L2, GOLGA6L6 (includes others), GPA33, GPAT2, GPATCH4, GPC3, GPR132, GPR183, GPR20, GPR32, GPR39, GPR4, GPR61, GPR65, GPRIN1, GPRIN2, GPX7, GRB7, GREB1, GRHL2, GRIK1, GRIK2, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GSDMB, GSN, GSPT1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTP1, GTF3C3, GUK1, H2AFX, H2AFY, H3F3A/H3F3B, HAGH, HAND1, HAPLN4, HAVCR1, HAX1, HBA1/HBA2, HBB, HBEGF, HBP1, HCAR2, HCCS, HCK, HCN1, HDAC1, HDAC4, HDAC6, HEATR1, HECTD4, HELB, HELZ2, HERC2, HEY2, HEYL, HGF, HGFAC, HIBADH, HIC1, HIF1A, HIGD1A, HIST1H2BK, HIST2H2BE, HIVEP3, HLA-A, HLA-B, HLA-DQB1, HLA-DRB1, HLA-DRB5, HMGA1, HMGA2, HMGCR, HMHA1, HMMR, HMOX1, HNF1A, HNRNPA0, HNRNPA1, HNRNPH2, HNRNPM, HNRNPUL1, HOOK3, HOXB1, HOXB6, HOXB9, HOXD10, HOXD3, HOXD9, HP, HPN, HRAS, HRCT1, HRH1, HRH2, HRH3, HRH4, HRNR, HS6ST1, HSD17B1, HSP90AA1, HSP90AB1, HSP90B1, HSPB1, HSPB7, HSPB8, HSPD1, HSPG2, HTATIP2, HTT, HUWE1, HYDIN, IBSP, IDH1, IDH3A, IER2, IER3, IFI27, IFIT1, IGF1, IGF1R, IGF2, IGFBP1, IGFBP2, IGFBP3, IGFBP5, IGFBP6, IGFN1, IGSF3, IGSF8, IKBKE, IL12A, IL12B, IL17A, IL1A, IL1B, IL1RAPL1, IL1RL1, IL2, IL23A, IL27RA, IL32, IL33, IL4, IL6, ILF3, ILK, ILKAP, INCENP, ING1, ING4, INHA, INPP5J, INTS9, IP6K3, IPO13, IRAK2, IRF1, IRS1, ITGAE, ITGAL, ITGAV, ITGAX, ITGB1, ITGB6, ITGBL1, ITIH5, ITPR1, JAG1, JAK2, JAK3, JUN, JUNB, JUND, KARS, KCNB2, KCNG4, KCNH2, KCNJ6, KCNN2, KCNN3, KDM2B, KDM6A, KDM8, KDR, KHSRP, KIAA1211, KIF11, KIF18B, KIF19, KIF22, KIF7, KIR2DL4, KISS1R, KIT, KLF10, KLF11, KLF4, KLF6, KLF8, KLHDC9, KLK10, KLK3, KLK6, KMT2C, KPNA2, KRAS, KRT14, KRT15, KRT17, KRT19, KRT20, KRT38, KRT5, KRT6A, KRT6B, KRT8, KRT82, KRTAP10-4, KRTAP17-1, KRTAP4-11, KRTAP4-5, KRTAP4-6, KRTAP4-7, KRTAP4-8, KRTAP4-9, KRTAP5-1, KRTAP5-3/KRTAP5-5, KRTAP5-8, KRTAP9-4, KRTAP9-9, L1CAM, L3MBTL3, LACRT, LACTB2, LAD1, LAGE3, LAMA1, LAMA3, LAMA5, LAMB1, LAMB3, LAMC2, LAMC3, LASP1, LCK, LCN12, LDB3, LETM1, LETM2, LETMD1, LGALS1, LGALS2, LGALS3, LGALS4, LGALS8, LGALS9B, LHCGR, LHFPL4, LIF, LIFR, LILRB3, LIMA1, LIMS1, LMAN2L, LMF1, LMNA, LMO1, LMO2, LMO7, LONP1, LOR, LPAR1, LPCAT2, LPL, LRBA, LRFN4, LRP1B, LRRC37A3 (includes others), LRRD1, LRRN2, LSM1, LSP1, LSR, LURAP1L, LY9, LYPLA1, LYSMD1, LYVE1, MAD1L1, MAGEA4, MAGED2, MAGI1, MAMDC2, MAML2, MAML3, MAP1LC3B, MAP2K3, MAP2K4, MAP3K1, MAP3K4, MAP3K8, MAP4, MAPK1, MAPK10, MAPK13, MAPK3, MAPK4, MAPK7, MAPKAPK2, MAPRE1, MAPRE3, MARCH5, MARK4, MARS, MAX, MAZ, MBD1, MBOAT4, MCAM, MCCC2, MCL1, MCM6, MDM4, MECR, MED12, MED15, MEF2A, MELK, MEOX2, MET, METAP2, METTL15, MFI2, MGAM, MGAT5B, MGST2, MICALL2, MIF, MINK1, MKI67, MKKS, MLIP, MLLT10, MMP1, MMP10, MMP11, MMP12, MMP13, MMP14, MMP15, MMP16, MMP17, MMP19, MMP2, MMP20, MMP21, MMP24, MMP25, MMP26, MMP27, MMP28, MMP3, MMP7, MMP8, MMP9, MORC2, MPL, MRC1, MRE11A, MREG, MRPL13, MRPL15, MRPL34, MRPS30, MS4A4A, MSS51, MST1, MST1R, MT-CYB, MT-ND1, MT-ND2, MT-ND3, MT-ND4, MT-ND5, MT1E, MT1F, MT1G, MT1H, MT1X, MT2A, MTA1, MTCH2, MTDH, MTHFD2L, MTHFR, MTOR, MTPAP, MUC1, MUC12, MUC17, MUC2, MUC20, MUC21, MUC4, MUC5AC, MUC5B, MUC6, MUCL1, MUM1, MYB, MYBBP1A, MYBL2, MYBPC3, MYC, MYCBP2, MYCN, MYH10, MYH4, MYH6, MYH9, MYLK, MYO16, MYO1A, MYO5B, N4BP3, NAALADL2, NACAD, NAMPT, NANOS3, NANS, NAP1L4, NAT6, NBEAL2, NBN, NBPF10 (includes others), NCAN, NCKAP5, NCL, NCOA3, NCOR2, NDUFAF3, NEFH, NEFM, NEIL3, NEK2, NEK6, NEK7, NELFB, NEU1, NF2, NFATC1, NFATC2, NFATC4, NFE2L2, NFIL3, NFYC, NGFR, NHS, NKX2-8, NLGN3, NLGN4X, NLRC4, NME1, NME2, NOBOX, NOL12, NOP16, NOP9, NOS3, NOTCH1, NOTCH2, NOTCH3, NPAS4, NPEPPS, NPHP4, NPPB, NPTX1, NPW, NPY1R, NQO1, NQO2, NR1H2, NR3C1, NR4A1, NR4A2, NR4A3, NR5A1, NRAS, NRCAM, NRIP1, NRK, NRP2, NRXN2, NTRK1, NTRK2, NTRK3, NTS, NTSR1, NUMB, NUMBL, NUP107, NUP210, NUP93, NUTM2A/NUTM2B, NVL, NWD1FTH1, NWD1, OBP2A, OBP2B, OBSCN, OCSTAMP, ODC1, ODF1, ODF2, OGFR, OR11H12 (includes others), OR13C5, OR13G1, OR2A4/OR2A7, OR2AK2, OR2T2/OR2T35, OR2T3/OR2T34, OR2T33, OR2T8, OR4D10, OR4F17 (includes others), OR4Q3, OR51E2, OR5P2, OR7C1, OR7D2, ORM1, OTOF, OTUD7B, OTX1, OXCT2, P4HB, PABPC3, PACSIN2, PAFAH1B2, PAK1IP1, PAK2, PALB2, PALLD, PAQR7, PARK2, PARP1, PARP2, PARP3, PARP4, PARVA, PARVG, PAWR, PBXIP1, PCDH1, PCDH12, PCDH19, PCED1A, PCGF2, PCMTD1, PCNA, PCNXL2, PCSK5, PCSK6, PDCD6, PDGFA, PDGFB, PDGFRA, PDGFRB, PDHB, PDK4, PDLIM4, PDLIM5, PDPN, PDS5B, PDZK1IP1, PEAR1, PECAM1, PELI1, PELP1, PER3, PEX19, PFAS, PFDN6, PFKM, PFN1, PGAP3, PGC, PGK1, PGM1, PGR, PHB, PHF1, PHLDA1, PHOSPHO1, PI4K2A, PI4KB, PIAS1, PID1, PIGT, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1, PIK3R3, PIM1, PIN1, PIP, PITX2, PIWIL2, PKD1L2, PKM, PLA2G2A, PLAT, PLAU, PLEC, PLEKHS1, PLG, PLIN2, PMAIP1, PMP2, PMS2, PNPLA4, PNPLA5, PNPO, PNRC1, POLB, POLD1, POLE, POLE2, POLE3, POLE4, POLG, POLR2A, POLR2J2/POLR2J3, POR, POTEB/POTEB2, POTEC, POTEE/POTEF, POTEG (includes others), POTEJ, POU5F1, PPAPDC1B, PPARA, PPARG, PPFIA1, PPM1D, PPM1E, PPP1R12B, PPP2R1B, PPP6R1, PQBP1, PRAME, PRAMEF1 (includes others), PRAMEF4 (includes others), PRAMEF7/PRAMEF8, PRDM1, PRDM14, PRDM5, PRDX1, PRDX5, PREX2, PRF1, PRKCB, PRKCI, PRKCQ, PRKCSH, PRKG2, PRKRA, PRL, PRLR, PROM1, PROSC, PROX1, PRR15L, PRR21, PRRC1, PRRC2B, PRRG3, PRSS55, PSCA, PSD3, PSIP1, PSMB4, PSMD4, PSTPIP2, PTBP1, PTCH1, PTCH2, PTEN, PTGS2, PTHLH, PTK2, PTP4A1, PTPN11, PTPRD, PTPRE, PTPRG, PTPRJ, PTRF, PTTG1, PVRL1, PVRL2, PVRL4, PXDN, PXN, PYHIN1, QKI, QSOX1, RAB11FIP1, RAB31, RAB3GAP2, RABL6, RAD17, RAD21L1, RAD51, RAD51B, RAD54L, RAF1, RAI1, RALBP1, RALY, RANBP1, RAP1A, RAP1B, RARA, RARB, RARG, RASGRF2, RASSF1, RB1, RB1CC1, RBBP6, RBM11, RBM12, RBM23, RBM28, RBM39, RBM47, RBM4B, RBMX, RBMX2, RBX1, RDX, RECK, REL, RELA, RELB, RELN, RERE, RET, REXO2, RFC4, RGPD3 (includes others), RGS1, RGS2, RHBDF1, RHOB, RHOBTB2, RHOC, RHOT2, RHPN2, RIBC1, RIMBP3 (includes others), RINT1, RLF, RMND1, RNASEH2A, RND3, RNF113A, RNF14, RNF5, RNF7, ROBO1, ROGDI, RORC, RP1L1, RPGR, RPH3AL, RPL19, RPL4, RPL6, RPLP0, RPS19, RPS24, RPS3, RPS6KB1, RPS6KC1	1167.0	2.765	induced
G1 phase	AATF, ABL1, ACIN1, ACVR1, ACVR1B, ACVRL1, ADCYAP1, ADRA1A, ADRA1D, AGT, AHR, AKAP12, AKT1, ALOX15, AMH, AP2A2, APC, APOE, ARNT, ARRB1, ATF3, ATM, AXL, BAD, BAG3, BAK1, BAP1, BARD1, BAX, BCAT1, BCL2, BCL3, BCR, BHLHE40, BIRC5, BMP2, BMP7, BOP1, BRAF, BRCA1, BTG2, BTK, BTRC, CABLES1, CACUL1, CAMK1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMKK1, CAMKK2, CAPNS1, CBL, CBX1, CCNA1, CCNA2, CCND1, CCND2, CCND3, CCNE1, CCNE2, CCNG1, CCNG2, CD180, CD247, CD28, CD40, CD40LG, CDC25A, CDC25B, CDC25C, CDC42, CDC6, CDCA2, CDCA5, CDK1, CDK11B, CDK2, CDK3, CDK4, CDK5RAP3, CDK6, CDKN1A, CDKN1B, CDKN1C, CDKN2A, CDKN2B, CDKN2C, CDKN2D, CDKN3, CDS1, CEBPA, CEBPB, CEBPD, CEL, CHEK2, COPS2, COPS5, CREG1, CREM, CRH, CRLF3, CSF1, CSF1R, CSF2, CSF3, CSNK2A1, CSNK2B, CTLA4, CTNNB1, CUL2, CUL3, CUL4A, CUL5, CUX1, CXCR1, CYLD, CYR61, DAB2, DARS, DAXX, DCN, DDIAS, DDIT3, DGKZ, DOT1L, DTD1, DUSP1, DYRK1A, DYRK1B, E2F1, E2F2, E2F3, E2F4, E2F5, E4F1, EDN3, EGF, EGFR, EIF2AK2, EIF2AK3, EIF4E, EIF4EBP1, ELAVL1, ELF4, ELF5, EP300, EP400, EPB41L1, EPOR, ERBB2, ERBB3, ESR1, ESR2, ESRRA, ESRRG, ETS1, ETV6, EZH2, FADD, FAM188A, FASN, FBXO5, FCER2, FGF2, FKBP1A, FLT1, FLT3, FN1, FOXM1, FOXO1, FZR1, GADD45A, GADD45B, GADD45G, GATA1, GDF15, GFI1, GFI1B, GHR, GJA1, GLI2, GMNN, GNA12, GNB2L1, GNL3, GPI, GPN3, GPR132, GPS2, GRID2, GSG2, GSPT1, HES1, HGF, HINFP, HMGA1, HNF1A, HOXA10, HOXB13, HRAS, ID2, ID3, ID4, IFI16, IFNA2, IFNG, IGF1, IGF1R, IGF2, IGFBP3, IGFBP7, IL16, IL1A, IL1B, IL2, IL3, IL6, IL7, ILK, ILKAP, ING1, ING2, INHBA, INS, INSR, IQGAP3, ITGA5, ITGAV, ITGB1, JAK2, JAK3, JUN, KAT2A, KAT5	236.0	3.364	induced
